F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,result
0,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.29412,1,3
0,0.10504,0.05462,-1.00000,-3.00000,3.00000,0,0.23529,0.46639,1,3
0,0.00000,-0.10000,0.00000,0.00000,2.00000,0,0.23529,0.38824,1,2
1,-0.04118,-0.70588,2.00000,1.00000,-3.00000,0,0.05882,0.02941,1,2
0,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,-0.08235,1,3
0,-0.01103,0.08456,-1.00000,-1.00000,-2.00000,0,-0.06250,-0.10294,1,2
0,0.00000,-0.09020,-1.00000,-2.00000,-5.00000,0,0.05882,-0.34902,1,1
0,0.00000,0.05882,0.00000,0.00000,-2.00000,0,0.00000,-1.00000,1,3
0,0.03361,0.33894,1.00000,2.00000,-3.00000,0,0.00000,0.17087,1,3
0,0.00000,-0.32353,0.00000,0.00000,-1.00000,0,0.00000,-0.32353,1,2
1,0.13725,-0.35294,3.00000,3.00000,-3.00000,1,0.31127,0.01471,1,2
0,-0.54902,-0.25490,-1.00000,-1.00000,3.00000,0,0.00000,-0.64706,1,3
0,-0.09626,-0.01070,0.00000,0.00000,-1.00000,0,0.05882,0.16043,1,3
0,0.01120,-0.16807,0.00000,1.00000,1.00000,0,0.00000,0.00840,1,3
0,0.04622,-0.01681,-1.00000,-1.00000,3.00000,0,0.05882,0.14496,1,2
0,0.04158,0.28803,0.00000,0.00000,-8.00000,0,0.05882,0.46552,0,2
0,0.00000,0.05882,1.00000,-3.00000,-5.00000,0,0.00000,-0.33333,1,3
0,0.00000,0.05882,0.00000,0.00000,1.00000,0,0.00000,-0.17647,1,3
0,0.00000,0.03361,0.00000,1.00000,-1.00000,0,-0.09524,0.45378,1,3
0,0.06536,0.66667,1.00000,-2.00000,-2.00000,0,0.13943,0.03922,1,3
0,-0.03209,-0.12834,0.00000,0.00000,3.00000,0,0.08556,-0.01604,0,2
0,0.02311,0.12605,0.00000,-3.00000,-6.00000,0,-0.03571,0.01681,1,3
0,0.00000,0.12384,0.00000,0.00000,2.00000,0,-0.05263,-0.07430,1,1
0,0.00000,0.88235,0.00000,-1.00000,-7.00000,0,-0.17647,0.05882,1,3
0,-0.14118,-0.44706,0.00000,-3.00000,-2.00000,0,-0.20000,0.40000,1,2
0,0.00000,-0.38562,0.00000,1.00000,-1.00000,0,0.00000,0.21569,1,3
0,0.02657,0.16509,0.00000,0.00000,-1.00000,0,0.00000,0.15750,0,3
0,-0.08730,-0.10317,0.00000,0.00000,1.00000,0,-0.42063,-0.34921,1,3
0,-0.06710,-0.28788,0.00000,1.00000,-7.00000,0,-0.09091,0.03896,1,1
0,0.00000,0.85714,0.00000,0.00000,-2.00000,0,-0.14286,-0.09524,1,1
0,-0.05952,-0.21429,1.00000,-1.00000,-5.00000,0,-0.11905,0.00000,1,3
0,-0.23810,0.50000,-1.00000,0.00000,-3.00000,0,-0.47619,0.11905,1,1
0,0.00000,0.70000,0.00000,1.00000,-6.00000,0,-0.12619,-0.10238,1,1
1,0.02627,-0.57143,0.00000,-1.00000,-13.00000,0,-0.12479,0.06814,0,1
0,-0.02619,-0.00714,0.00000,0.00000,-1.00000,1,-0.05000,0.36667,1,3
0,0.00000,-0.32857,0.00000,0.00000,0.00000,0,-0.20000,0.03810,1,3
0,-0.03810,0.46667,0.00000,-1.00000,-5.00000,1,-0.23333,0.02381,1,3
0,0.00000,-0.13420,0.00000,0.00000,-2.00000,0,0.16667,-0.05411,1,3
