F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,result
0,0,0,0,-1,1,1,0,0,0,1
0,0,-0.069444444,0,0,1,0,0.013888889,-0.555555556,1,3
0,0,0.055555556,0,0,0,0,0.055555556,-0.166666667,1,3
0,-0.044444444,0.055555556,0,-2,0,0,0,0.066666667,1,3
0,0,0.944444444,0,0,-1,0,-0.111111111,-0.611111111,1,3
0,0,0.703703704,0,-2,-2,0,-0.037037037,-0.444444444,1,3
0,-0.035353535,0.636363636,1,0,2,0,-0.181818182,-0.282828283,1,1
0,-0.111111111,0.333333333,0,-1,3,0,-0.111111111,-0.388888889,1,3
0,0,0.095238095,0,1,2,0,0.055555556,-0.666666667,1,3
0,-0.144444444,0.4,0,0,-1,0,-0.2,-0.355555556,1,1
0,0,0,0,0,-7,0,0,-0.1,1,3
0,0.0375,0.15,0,0,-8,0,-0.1875,-0.2125,1,1
0,0,-0.175,0,0,3,0,-0.375,-0.325,1,3
0,0,0.088888889,0,0,0,0,-0.055555556,-0.366666667,1,1
0,0,-0.014285714,0,0,-1,0,0,-0.1,1,1
0,0.062962963,0.703703704,0,0,-8,0,-0.259259259,-0.018518519,1,2
0,0,0.0375,0,-1,-2,0,-0.0625,-0.4625,1,3
0,0,0.1,0,0,-3,0,-0.4,-0.8,1,3
0,0,0.4,0,0,-2,0,-0.222222222,-0.888888889,1,3
0,-0.011111111,0.555555556,-1,0,-5,0,-0.333333333,-0.188888889,1,1
0,0,0.3,-1,-1,-7,0,0,-0.145454545,1,1
0,0,-0.166666667,0,0,-2,0,0,0.125,1,3
0,0,0.039473684,0,0,2,0,0,0.434210526,0,3
0,0.041666667,0.5,-1,-1,-7,0,0.125,0.166666667,0,1
1,0.425,0,-1,-1,-5,1,0.005,0.28,1,3
0,0.214285714,0.107142857,0,-1,-1,0,0.25,0.142857143,1,3
0,0.375,0.25,-1,1,2,1,0.375,0.1875,0,2
0,0,0.325,0,0,-3,0,0,0.05,0,3
0,0.166666667,0.25,0,-1,2,0,0.125,0.125,1,3
0,0.068181818,0.261363636,-1,0,-4,0,0,0.363636364,0,3
0,0.079710145,0.06884058,0,-1,-4,0,-0.130434783,0.398550725,0,3
0,-0.083333333,-0.291666667,0,-1,1,0,-0.083333333,-0.333333333,1,3
0,0,0,-1,0,-2,0,-1,-0.666666667,1,1
0,0.041666667,-0.166666667,0,0,1,0,0.25,0.333333333,1,3
1,0.185185185,0,-1,0,-6,1,-0.055555556,0.194444444,1,1
0,-0.25,-0.333333333,0,-1,-2,0,-0.333333333,-0.583333333,1,3
0,0,0.4,0,-1,-3,0,-0.2,0.016666667,1,3
0,0,-0.052631579,0,0,0,0,0,0.083333333,1,3
0,0.053921569,0.078431373,0,2,-3,0,0.220588235,0.710784314,1,3
