@relation D4
 
@attribute F1 {0, 1}
@attribute F2 numeric
@attribute F3 numeric
@attribute F4 numeric
@attribute F5 numeric
@attribute F6 numeric
@attribute F7 {0, 1}
@attribute F8 numeric
@attribute F9 numeric
@attribute F10 {0, 1}
@attribute F11 numeric
@attribute F12 numeric
@attribute result {1, 2, 3}

@data
0,0,0,0,-1,1,1,0,0,0,0.031587647,0.031587647,1
0,0,-0.069444444,0,0,1,0,0.013888889,-0.555555556,1,0.031587647,0.050916426,3
0,0,0.055555556,0,0,0,0,0.055555556,-0.166666667,1,0.031587647,0.056189615,3
0,-0.044444444,0.055555556,0,-2,0,0,0,0.066666667,1,0.031587647,0.049248201,3
0,0,0.944444444,0,0,-1,0,-0.111111111,-0.611111111,1,0.031587647,0.043198992,3
0,0,0.703703704,0,-2,-2,0,-0.037037037,-0.444444444,1,0.031587647,0.033167304,3
0,-0.035353535,0.636363636,1,0,2,0,-0.181818182,-0.282828283,1,0.031587647,0.026140268,1
0,-0.111111111,0.333333333,0,-1,3,0,-0.111111111,-0.388888889,1,0.031587647,0.030937394,3
0,0,0.095238095,0,1,2,0,0.055555556,-0.666666667,1,0.031587647,0.022543139,3
0,-0.144444444,0.4,0,0,-1,0,-0.2,-0.355555556,1,0.031587647,0.029332207,1
0,0,0,0,0,-7,0,0,-0.1,1,0.037047835,0.043504132,3
0,0.0375,0.15,0,0,-8,0,-0.1875,-0.2125,1,0.037047835,0.033024178,1
0,0,-0.175,0,0,3,0,-0.375,-0.325,1,0.037047835,0.027895796,3
0,0,0.088888889,0,0,0,0,-0.055555556,-0.366666667,1,0.037047835,0.034274405,1
0,0,-0.014285714,0,0,-1,0,0,-0.1,1,0.037047835,0.039193402,1
0,0.062962963,0.703703704,0,0,-8,0,-0.259259259,-0.018518519,1,0.037047835,0.030915321,2
0,0,0.0375,0,-1,-2,0,-0.0625,-0.4625,1,0.037047835,0.036182785,3
0,0,0.1,0,0,-3,0,-0.4,-0.8,1,0.037047835,0.04152042,3
0,0,0.4,0,0,-2,0,-0.222222222,-0.888888889,1,0.037047835,0.040109973,3
0,-0.011111111,0.555555556,-1,0,-5,0,-0.333333333,-0.188888889,1,0.037047835,0.035242094,1
