F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,result
0,0,0,0,0,0,0,0,0.294117647,1,3
0,0.105042017,0.054621849,-1,-3,3,0,0.235294118,0.466386555,1,3
0,0,-0.1,0,0,2,0,0.235294118,0.388235294,1,2
1,-0.041176471,-0.705882353,2,1,-3,0,0.058823529,0.029411765,1,2
0,0,0,0,0,0,0,0,-0.082352941,1,3
0,-0.011029412,0.084558824,-1,-1,-2,0,-0.0625,-0.102941176,1,2
0,0,-0.090196078,-1,-2,-5,0,0.058823529,-0.349019608,1,1
0,0,0.058823529,0,0,-2,0,0,-1,1,3
0,0.033613445,0.338935574,1,2,-3,0,0,0.170868347,1,3
0,0,-0.323529412,0,0,-1,0,0,-0.323529412,1,2
1,0.137254902,-0.352941176,3,3,-3,1,0.31127451,0.014705882,1,2
0,-0.549019608,-0.254901961,-1,-1,3,0,0,-0.647058824,1,3
0,-0.096256684,-0.010695187,0,0,-1,0,0.058823529,0.160427807,1,3
0,0.011204482,-0.168067227,0,1,1,0,0,0.008403361,1,3
0,0.046218487,-0.016806723,-1,-1,3,0,0.058823529,0.144957983,1,2
0,0.04158215,0.288032454,0,0,-8,0,0.058823529,0.465517241,0,2
0,0,0.058823529,1,-3,-5,0,0,-0.333333333,1,3
0,0,0.058823529,0,0,1,0,0,-0.176470588,1,3
0,0,0.033613445,0,1,-1,0,-0.095238095,0.453781513,1,3
0,0.065359477,0.666666667,1,-2,-2,0,0.139433551,0.039215686,1,3
0,-0.032085561,-0.128342246,0,0,3,0,0.085561497,-0.016042781,0,2
0,0.023109244,0.12605042,0,-3,-6,0,-0.035714286,0.016806723,1,3
0,0,0.123839009,0,0,2,0,-0.052631579,-0.074303406,1,1
0,0,0.882352941,0,-1,-7,0,-0.176470588,0.058823529,1,3
0,-0.141176471,-0.447058824,0,-3,-2,0,-0.2,0.4,1,2
0,0,-0.385620915,0,1,-1,0,0,0.215686275,1,3
0,0.026565465,0.165085389,0,0,-1,0,0,0.157495256,0,3
0,-0.087301587,-0.103174603,0,0,1,0,-0.420634921,-0.349206349,1,3
0,-0.067099567,-0.287878788,0,1,-7,0,-0.090909091,0.038961039,1,1
0,0,0.857142857,0,0,-2,0,-0.142857143,-0.095238095,1,1
0,-0.05952381,-0.214285714,1,-1,-5,0,-0.119047619,0,1,3
0,-0.238095238,0.5,-1,0,-3,0,-0.476190476,0.119047619,1,1
0,0,0.7,0,1,-6,0,-0.126190476,-0.102380952,1,1
1,0.026272578,-0.571428571,0,-1,-13,0,-0.124794745,0.068144499,0,1
0,-0.026190476,-0.007142857,0,0,-1,1,-0.05,0.366666667,1,3
0,0,-0.328571429,0,0,0,0,-0.2,0.038095238,1,3
0,-0.038095238,0.466666667,0,-1,-5,1,-0.233333333,0.023809524,1,3
0,0,-0.134199134,0,0,-2,0,0.166666667,-0.054112554,1,3
0,-0.007326007,0.120879121,0,2,4,0,0.02014652,0.042124542,1,3
0,0,-0.238095238,1,0,1,0,-0.333333333,0.261904762,1,3
0,-0.008448541,0.044546851,0,1,-5,1,0.071428571,-0.288018433,1,2
0,0,-0.464285714,0,0,-2,0,0,-0.892857143,0,3
0,-0.030952381,0.733333333,0,0,9,0,-0.133333333,-0.1,1,3
0,0,-0.226190476,0,0,-2,0,0,-0.571428571,1,3
0,-0.071428571,0.107142857,1,-1,-2,0,-0.071428571,-0.607142857,1,1
0,0,0.118421053,0,0,-11,0,-0.069548872,-0.287593985,0,2
0,0,-0.071428571,0,0,1,0,0,-0.428571429,1,3
0,-0.055194805,-0.058441558,0,-2,2,0,-0.090909091,-0.444805195,0,3
0,0.007936508,0.158730159,0,2,2,0,-0.027777778,-0.333333333,1,3
0,0,0.035714286,0,0,-1,0,0,-0.857142857,0,2
0,-0.033834586,-0.031954887,0,0,-8,0,-0.052631579,-0.44924812,1,1
0,-0.023109244,-0.163865546,0,2,6,0,0,-0.287815126,1,3
